model,dataset,train_acc,val_acc,test_acc,nmi,ami,ari,purity,accuracy,modularity_pred,modularity_true
gcn,karate,1.0,1.0,0.875,0.8371694628777809,0.8334659946350965,0.8822575413558222,0.9705882352941176,0.9705882352941176,0.35494740302432604,0.3582347140039448
graphsage,karate,1.0,1.0,0.875,0.8371694628777809,0.8334659946350965,0.8822575413558222,0.9705882352941176,0.9705882352941176,0.35494740302432604,0.3582347140039448
gcn,dolphins,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3787033740753925,0.3787033740753925
graphsage,dolphins,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3787033740753925,0.3787033740753925
gcn,football,0.8840579710144928,0.8695652173913043,0.8695652173913043,0.8918252632988839,0.8594542014225812,0.8341270405737751,0.8869565217391304,0.8782608695652174,0.5891505153432028,0.553973318714423
graphsage,football,0.8985507246376812,0.8695652173913043,0.8695652173913043,0.8969129318423361,0.8684776696488883,0.823207688573301,0.8869565217391304,0.8869565217391304,0.5849870532162046,0.553973318714423
gcn,email-Eu-core,0.8440677966101695,0.8492462311557789,0.7817258883248731,0.8270382943781476,0.7936363573116056,0.7673727244923324,0.8326572008113591,0.8326572008113591,0.3080423032099688,0.28801318862374226
graphsage,email-Eu-core,0.9864406779661017,0.8341708542713567,0.7715736040609137,0.8986938268565127,0.8767389573802138,0.8642138060301694,0.9127789046653144,0.9127789046653144,0.29727307659613034,0.28801318862374226
gcn,facebook-ego-1684,0.9073684210526316,0.89937106918239,0.8616352201257862,0.8203458109924322,0.8091459577162701,0.8570329807644339,0.8965952080706179,0.8965952080706179,0.5286634935700826,0.4823306711900682
graphsage,facebook-ego-1684,0.9768421052631578,0.9056603773584906,0.8490566037735849,0.8779477646159558,0.8696414994658952,0.9089382515876402,0.9369482976040353,0.9369482976040353,0.5010100797464012,0.4823306711900682
gcn,dblp-top500,0.9914529914529915,1.0,0.9829059829059829,0.9914738331988442,0.9877800572175265,0.9880700602775658,0.9914089347079038,0.9914089347079038,0.8685706727556248,0.8711942386945868
graphsage,dblp-top500,0.9971509971509972,1.0,1.0,0.9982773571352429,0.9975313255195647,0.9974059251163369,0.9982817869415808,0.9982817869415808,0.8707377756738695,0.8711942386945868
